"How many member states does the Commonwealth have?<br><br>53<br>27<br>5<br>190"	"53"	"The Queen is the ceremonial head of the Commonwealth, which currently has 53 member states."	"Life in the UK"	
"Which TWO are safe places to go and stay in for anyone facing domestic violence?<br><br>Carehome<br>Shelter<br>Community Centre<br>Refuge"	"Shelter<br>Refuge"	"It is important for anyone facing domestic violence to get help as soon as possible. A solicitor or the Citizens Advice Bureau can explain the available options. In some areas there are safe places to go and stay in, called refuges or shelters."	"Life in the UK"	
"Which king defeated the Vikings?<br><br>King William the Conqueror<br>Kind Harold<br>King Alfred the Great<br>King Robert the Bruce"	"King Alfred the Great"	"The Anglo-Saxon kingdoms in England united under King Alfred the Great, who defeated the Vikings. Many of the Viking invaders stayed in Britain – especially in the east and north of England, in an area known as the Danelaw"	"Life in the UK"	
"The Lake District is the largest national park in Scotland<br><br>False<br>True"	"False"	"The Lake District is England’s largest national park. It covers 885 square miles (2,292 square kilometres). It is famous for its lakes and mountains and is very popular with climbers, walkers and sailors. The biggest stretch of water is Windermere. In 2007, television viewers voted Wastwater as Britain’s favourite view."	"Life in the UK"	
"In which year did the UK join the European Union (EU)?<br><br>1953<br>1949<br>1973<br>1957"	"1973"	"The UK originally decided not to join the EU but it became a member in 1973. There are now 28 EU member states"	"Life in the UK"	
"It is a legal requirement that men and women should not be discriminated against due to their gender or marital status<br><br>False<br>True"	"True"	"UK laws ensure that people are not treated unfairly in any area of life or work because of their age, disability, sex, pregnancy and maternity, race, religion or belief, sexuality or marital status."	"Life in the UK"	
"When Queen Anne died, a German, George of Hanover, became the next King of England<br><br>True<br>False"	"True"	"When Queen Anne died in 1714, Parliament chose a German, George I, to be the next King, because he was Anne’s nearest Protestant relative. An attempt by Scottish Jacobites to put James II’s son on the throne instead was quickly defeated."	"Life in the UK"	
"Mary Stuart, often now called Mary Queen of Scots was a Protestant<br><br>True<br>False"	"False"	"The queen of Scotland, Mary Stuart (often now called ‘Mary, Queen of Scots’) was a Catholic. She was only a week old when her father died and she became queen"	"Life in the UK"	
"Which TWO of the following are major horse-racing events in the UK?<br><br>Six Nations Championship<br>Scottish Grand National<br>Royal Ascot<br>The Open Championship"	"Scottish Grand National<br>Royal Ascot"	"Famous horse-racing events include: Royal Ascot, a five-day race meeting in Berkshire attended by members of the Royal Family; the Grand National at Aintree near Liverpool; and the Scottish Grand National at Ayr. There is a National Horseracing Museum in Newmarket, Suffolk."	"Life in the UK"	
"What awards event celebrates British theatre?<br><br>The Laurence Olivier Awards<br>The Brit Awards<br>The Mercury Prize<br>The Turner Prize"	"The Laurence Olivier Awards"	"The Laurence Olivier Awards take place annually at different venues in London. There are a variety of categories, including best director, best actor and best actress. The awards are named after the British actor Sir Laurence Olivier, later Lord Olivier, who was best known for his roles in various Shakespeare plays."	"Life in the UK"	
"Conservative Party is a political party in the UK<br><br>False<br>True"	"True"	"The main political parties include: Conservative Party, the Labour Party, the Liberal Democrats, or one of the parties representing Scottish, Welsh or Northern Irish interests."	"Life in the UK"	
"Members of the European Union can vote in all public UK elections<br><br>True<br>False"	"False"	"Adult citizens of other EU states who are resident in the UK can vote in all elections except General Elections."	"Life in the UK"	
"Which TWO of the following are protected by law from discrimination?<br><br>Eye colour<br>Disability<br>Choice of car<br>Marital status"	"Disability<br>Marital status"	"UK laws ensure that people are not treated unfairly in any area of life or work because of their age, disability, sex, pregnancy and maternity, race, religion or belief, sexuality or marital status."	"Life in the UK"	
"What celebration takes place on the 25th of December each year?<br><br>Father's Day<br>Hogmanay<br>Boxing Day<br>Christmas Day"	"Christmas Day"	"Christmas Day, 25 December, celebrates the birth of Jesus Christ. It is a public holiday. Many Christians go to church on Christmas Eve (24 December) or on Christmas Day itself."	"Life in the UK"	
"How many ski centres are there in Scotland?<br><br>2<br>5<br>13<br>1"	"5"	"Skiing is increasingly popular in the UK. Many people go abroad to ski and there are also dry ski slopes throughout the UK. Skiing on snow may also be possible during the winter. There are five ski centres in Scotland, as well as Europe’s longest dry ski slope near Edinburgh."	"Life in the UK"	
"The jury decides on the penalty if the defendant is found guilty<br><br>True<br>False"	"False"	"The jury has to listen to the evidence presented at the trial and then decide a verdict of ‘guilty’ or ‘not guilty’ based on what they have heard. In Scotland, a third verdict of ‘not proven’ is also possible. If the jury finds a defendant guilty, the judge decides on the penalty."	"Life in the UK"	
"When walking your dog in a public place, what must you ensure?<br><br>That your dog wears a special dog coat<br>That your dog wears a collar showing the name and address of the owner<br>That your dog never strays more than 3 metres away from you<br>That your dog does not come into contact with other dogs"	"That your dog wears a collar showing the name and address of the owner"	"A lot of people in the UK have pets such as cats or dogs. They might have them for company or because they enjoy looking after them. It is against the law to treat a pet cruelly or to neglect it. All dogs in public places must wear a collar showing the name and address of the owner. The owner is responsible for keeping the dog under control and for cleaning up after the animal in a public place."	"Life in the UK"	
"Which TWO of these roles, in the UK, are unpaid?<br><br>Magistrate<br>District Judge<br>Special Constable<br>Chief of Police"	"Magistrate<br>Special Constable"	"You can volunteer with the police, and become a special constable or a lay (non-police) representative. You can also apply to become a Magistrate."	"Life in the UK"	
"During Queen Elizabeth’s reign the British Empire became the largest empire the world had ever seen<br><br>False<br>True"	"False"	"During the Victorian period, the British Empire grew to cover all of India, Australia and large parts of Africa. It became the largest empire the world has ever seen, with an estimated population of more than 400 million people."	"Life in the UK"	
"It is illegal for any person under the age of 16 to buy a Lottery ticket<br><br>False<br>True"	"True"	"There is a National Lottery for which draws are made every week. You can enter by buying a ticket or a scratch card. People under 16 are not allowed to participate in the National Lottery."	"Life in the UK"	
"Which of these TWO lines from Shakespeare’s plays and poems are often still quoted?<br><br>The darling buds of May<br>A rose is beautiful<br>To be or not to be<br>The world is your oyster"	"The darling buds of May<br>To be or not to be"	"Lines from Shakespeare’s plays and poems which are often still quoted include:"	"Life in the UK"	
"Which TWO are 20th century British inventions?<br><br>Aspirin<br>AC motor<br>Television<br>Concorde"	"Television<br>Concorde"	"Britain and France developed Concorde, the world’s only supersonic passenger aircraft. It first flew in 1969 and began carrying passengers in 1976. Concorde was retired from service in 2003. The television was developed by Scotsman John Logie Baird in the 1920s. In 1932 he made the first television broadcast between London and Glasgow."	"Life in the UK"	
"When are Pantomimes usually produced?<br><br>Christmas<br>Halloween<br>School holidays<br>Easter"	"Christmas"	"One British tradition is the pantomime. Many theatres produce a pantomime at Christmas time. They are based on fairy stories and are light-hearted plays with music and comedy, enjoyed by family audiences. One of the traditional characters is the Dame, a woman played by a man. There is often also a pantomime horse or cow played by two actors in the same costume."	"Life in the UK"	
"Which language was spoken by people during the Iron Age?<br><br>Celtic<br>English<br>Anglo-Saxon<br>Norman French"	"Celtic"	"Most Iron age people were farmers, craft workers or warriors. The language they spoke was part of the Celtic language family."	"Life in the UK"	
"When was the Parliament of Northern Ireland first established?<br><br>1999<br>1986<br>1937<br>1922"	"1922"	"A Northern Ireland Parliament was established in 1922, when Ireland was divided, but it was abolished in 1972, shortly after the Troubles broke out in 1969. The Northern Ireland Assembly was established soon after the Belfast Agreement (or Good Friday Agreement) in 1998."	"Life in the UK"	
"Which TWO of the following are examples of criminal law?<br><br>Disputes about faulty goods<br>Discrimination in the workplace<br>Selling tobacco to anyone under the age of 18<br>Racial crime"	"Selling tobacco to anyone under the age of 18<br>Racial crime"	"Examples of criminal laws are:"	"Life in the UK"	
"The Archbishop of Canterbury is the spiritual leader of the Church of England<br><br>False<br>True"	"True"	"The spiritual leader of the Church of England is the Archbishop of Canterbury. The monarch has the right to select the Archbishop and other senior church officials, but usually the choice is made by the Prime Minister and a committee appointed by the Church. Several Church of England bishops sit in the House of Lords. The monarch is the head of state of the church."	"Life in the UK"	
"Which of these TWO countries are Commonwealth Members?<br><br>Germany<br>Namibia<br>USA<br>Cameroon"	"Namibia<br>Cameroon"	"Cameroon and Namibia are members of the Commonwealth"	"Life in the UK"	
"You need to be a member of a political party to be able to stand for election as an MP<br><br>False<br>True"	"False"	"Anyone aged 18 or over can stand for election as an MP but they are unlikely to win unless they have been nominated to represent one of the major political parties."	"Life in the UK"	
"Which TWO are correct about King Henry’s wives?<br><br>Two of the wives were sisters<br>Two wives were called Anne<br>All were British<br>Three wives were called Catherine"	"Two wives were called Anne<br>Three wives were called Catherine"	"3 of the wives were called Catherine and 2 were called Anne."	"Life in the UK"	
"Who was Thomas Gainsborough?<br><br>Painted pictures on religious or literary themes in bright colours<br>Was a portrait painter who often painted people in country or garden scenery<br>Is best known for his large bronze abstract sculptures<br>Was a landscape painter in modern style"	"Was a portrait painter who often painted people in country or garden scenery"	"Thomas Gainsborough (1727–88) was a portrait painter who often painted people in country or garden scenery."	"Life in the UK"	
"Who captained the English cricket team and holds a number of records, both for batting and bowling?<br><br>Brian Lara<br>Wasim Akram<br>Ian Botham<br>Shane Warne"	"Ian Botham"	"Sir Ian Botham (1955–) captained the English cricket team and holds a number of English Test cricket records, both for batting and for bowling."	"Life in the UK"	
"The 39 steps was directed by David Lean in 1980<br><br>True<br>False"	"False"	"The 39 Steps (1935), directed by Alfred Hitchcock"	"Life in the UK"	
"Which TWO are famous British sailors?<br><br>Sir Jackie Stewart<br>Sir Robin Knox-Johnston<br>Sir Francis Chichester<br>Sir Ian Botham"	"Sir Robin Knox-Johnston<br>Sir Francis Chichester"	"A British sailor, Sir Francis Chichester, was the first person to sail single-handed around the world, in 1966/67. Two years later, Sir Robin Knox-Johnston became the first person to do this without stopping."	"Life in the UK"	
"Which TWO describe the Wimbledon Championships?<br><br>only ""Major"" tournament held outside the US<br>oldest tennis tournament in the world<br>only tennis tournament that Andy Murray won<br>only ""Grand Slam"" event played on grass"	"oldest tennis tournament in the world<br>only ""Grand Slam"" event played on grass"	"Modern tennis evolved in England in the late 19th century. The first tennis club was founded in Leamington Spa in 1872. The most famous tournament hosted in Britain is The Wimbledon Championships, which takes place each year at the All England Lawn Tennis and Croquet Club. It is the oldest tennis tournament in the world and the only ‘Grand Slam’ event played on grass."	"Life in the UK"	
"Which pair won gold medals for Ice dancing at the Olympic Games in 1984 and in four consecutive world championships?<br><br>Jayne Torvill and Christopher Dean<br>Doreen Denny and Courtney Jones<br>Jennifer Nicks and John Nicks<br>Jean Westwood and Lawrence Demmy"	"Jayne Torvill and Christopher Dean"	"Jayne Torvill (1957–) and Christopher Dean (1958–) won gold medals for ice dancing at the Olympic Games in 1984 and in four consecutive world championships."	"Life in the UK"	
"The Prime Minister cannot be changed until the next General election<br><br>False<br>True"	"False"	"The Prime Minister can be changed if the MPs in the governing party decide to do so, or if he or she wishes to resign."	"Life in the UK"	
"George Frederick wrote which oratorio, which is sung regularly by choirs, often at Easter time?<br><br>Messiah<br>The Origin<br>Elijah<br>The Light of the Moon"	"Messiah"	"The German-born composer George Frederick Handel (1695–1759) spent many years in the UK and became a British citizen in 1727. He wrote the Water Music for King George I and Music for the Royal Fireworks for his son, George II. Both these pieces continue to be very popular. Handel also wrote an oratorio, Messiah, which is sung regularly by choirs, often at Easter time."	"Life in the UK"	
"Which TWO are correct about Mary Stuart?<br><br>She was Elizabeth I's sister<br>She died of the Black Death<br>She spent much of her childhood in France<br>She was only a week old when she became queen"	"She spent much of her childhood in France<br>She was only a week old when she became queen"	"The queen of Scotland, Mary Stuart (often now called ‘Mary, Queen of Scots’) was a Catholic. She was only a week old when her father died and she became queen. Much of her childhood was spent in France. When she returned to Scotland, she was the centre of a power struggle between different groups. When her husband was murdered, Mary was suspected of involvement and fled to England. She gave her throne to her Protestant son, James VI of Scotland. Mary was Elizabeth I’s cousin and hoped that Elizabeth might help her, but Elizabeth suspected Mary of wanting to take over the English throne, and kept her a prisoner for 20 years. Mary was eventually executed, accused of plotting against Elizabeth I."	"Life in the UK"	
"Which of these is a British invention/discovery?<br><br>Radiator<br>Hovercraft tank<br>Fire extinguisher<br>The structure of the DNA molecule"	"The structure of the DNA molecule"	"The structure of the DNA molecule was discovered in 1953 through work at British universities in London and Cambridge. This discovery contributed to many scientific advances, particularly in medicine and fighting crime. Francis Crick (1916–2004), one of those awarded the Nobel Prize for this discovery, was British."	"Life in the UK"	
"Which TWO things happened when Mary Stuart’s husband got murdered?<br><br>She gave her throne to Elizabeth I<br>She asked Elizabeth I for help<br>She was suspected of involvement in the murder<br>She fled to France"	"She asked Elizabeth I for help<br>She was suspected of involvement in the murder"	"The queen of Scotland, Mary Stuart (often now called ‘Mary, Queen of Scots’) was a Catholic. She was only a week old when her father died and she became queen. Much of her childhood was spent in France. When she returned to Scotland, she was the centre of a power struggle between different groups. When her husband was murdered, Mary was suspected of involvement and fled to England. She gave her throne to her Protestant son, James VI of Scotland. Mary was Elizabeth I’s cousin and hoped that Elizabeth might help her, but Elizabeth suspected Mary of wanting to take over the English throne, and kept her a prisoner for 20 years. Mary was eventually executed, accused of plotting against Elizabeth I."	"Life in the UK"	
"Which of these is correct in the chronological order?<br><br>Canterbury Tales, the Black Death, Magna Carta<br>the Black Death, Canterbury Tales, Magna Carta<br>the Black Death, Magna Carta, Canterbury Tales<br>Magna Carta, the Black Death, Canterbury Tales,"	"Magna Carta, the Black Death, Canterbury Tales,"	"Magna Carta(1215), The Black Death (1348), The Canterbury Tales(1400)"	"Life in the UK"	
"Which TWO are notable British artists?<br><br>Matthew Harris Jouett<br>Rembrandt Peale<br>John Constable<br>Joseph Turner"	"John Constable<br>Joseph Turner"	"Joseph Turner (1775–1851) was an influential landscape painter in a modern style. He is considered the artist who raised the profile of landscape painting.John Constable (1776–1837) was a landscape painter most famous for his works of Dedham Vale on the Suffolk–Essex border in the east of England."	"Life in the UK"	
"In 1998, what was the estimated population of the UK?<br><br>75 million<br>42 million<br>57 million<br>62 million"	"57 million"	""	"Life in the UK"	
"Which TWO are facts about King William II of Scotland?<br><br>He was defeated by King James II of England when the latter tried to take back the crown<br>He was married to the young daughter of King James II of England, Wales and Ireland<br>He was the Protestant rule of the Netherlands before he became King William II of Scotland<br>He was William of Orange before he became King William III of England. Wales and Ireland"	"He was the Protestant rule of the Netherlands before he became King William II of Scotland<br>He was William of Orange before he became King William III of England. Wales and Ireland"	"James II’s elder daughter, Mary, was married to her cousin William of Orange, the Protestant ruler of the Netherlands. In 1688, important Protestants in England asked William to invade England and proclaim himself king. When William reached England, there was no resistance. James fled to France and William took over the throne, becoming William III in England, Wales and Ireland, and William II of Scotland."	"Life in the UK"	
"Who was the British scientist who was awarded the Nobel prize for the discovery of the structure of the DNA molecule?<br><br>James Goodfellow<br>John Macleod<br>Francis Crick<br>Alan Turing"	"Francis Crick"	"The structure of the DNA molecule was discovered in 1953 through work at British universities in London and Cambridge. This discovery contributed to many scientific advances, particularly in medicine and fighting crime. Francis Crick (1916–2004), one of those awarded the Nobel Prize for this discovery, was British."	"Life in the UK"	
"Ralph Vaughan Williams was strongly influenced by traditional English folk music<br><br>True<br>False"	"True"	"Ralph Vaughan Williams (1872–1958) wrote music for orchestras and choirs. He was strongly influenced by traditional English folk music."	"Life in the UK"	
"David Hockney was an important contributor to the ‘pop art’ movement of the 1960s<br><br>False<br>True"	"True"	"David Hockney (1937–) was an important contributor to the ‘pop art’ movement of the 1960s and continues to be influential today."	"Life in the UK"	
"When King Charles I tried to impose a revised Prayer Book on the Presbyterian Church in Scotland, which TWO events occurred?<br><br>A Scottish army was formed and it invaded England<br>King Charles I formed his own army without asking for help from Parliament<br>Parliament only gave the money to King Charles when the Scottish army invaded England<br>King Charles I recalled Parliament to ask it for funds to form his own army"	"A Scottish army was formed and it invaded England<br>King Charles I recalled Parliament to ask it for funds to form his own army"	"Charles I wanted the worship of the Church of England to include more ceremony and introduced a revised Prayer Book. He tried to impose this Prayer Book on the Presbyterian Church in Scotland and this led to serious unrest. A Scottish army was formed and Charles could not find the money he needed for his own army without the help of Parliament. In 1640, he recalled Parliament to ask it for funds. Many in Parliament were Puritans, a group of Protestants who advocated strict and simple religious doctrine and worship. They did not agree with the king’s religious views and disliked his reforms of the Church of England. Parliament refused to give the king the money he asked for, even after the Scottish army invaded England."	"Life in the UK"	
"Which stories are associated with Geoffrey Chaucer?<br><br>The Canterbury Tales<br>The London Tales<br>The Westend Tales<br>The Eastend Tales"	"The Canterbury Tales"	"In the years leading up to 1400, Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage. The people decided to tell each other stories on the journey, and the poems describe the travellers and some of the stories they told. This collection of poems is called The Canterbury Tales."	"Life in the UK"	
"In what year was there a revolution in France which led to a war with Britain?<br><br>1789<br>1679<br>1097<br>1298"	"1789"	"During the 18th century, Britain fought a number of wars with France. In 1789, there was a revolution in France and the new French government soon declared war on Britain. Napoleon, who became Emperor of France, continued the war."	"Life in the UK"	
"The EU was set up by 6 western countries who signed the Treaty of Rome on which date?<br><br>17 May 1967<br>1 March 1977<br>25 March 1957<br>30 May 1947"	"25 March 1957"	"The European Union (EU), originally called the European Economic Community (EEC), was set up by six western European countries (Belgium, France, Germany, Italy, Luxembourg and the Netherlands) who signed the Treaty of Rome on 25 March 1957. The UK originally decided not to join this group but it became a member in 1973."	"Life in the UK"	
"Which of the following is a fundamental principle of British life?<br><br>Individual liberty<br>Inequality<br>Intolerance<br>Extremism"	"Individual liberty"	""	"Life in the UK"	
"Which TWO are used in making an Ulster fry?<br><br>Oatmeal<br>Sausage<br>Bacon<br>Beef"	"Sausage<br>Bacon"	"Ulster fry – a fried meal with bacon, eggs, sausage, black pudding, white pudding, tomatoes, mushrooms, soda bread and potato bread."	"Life in the UK"	
"There is a dragon on the official flag of Wales<br><br>True<br>False"	"True"	"here is also an official Welsh flag, which shows a Welsh dragon. The Welsh dragon does not appear on the Union Flag because, when the first Union Flag was created in 1606 from the flags of Scotland and England, the Principality of Wales was already united with England."	"Life in the UK"	
"There are some MPs (Members of Parliament) who do not represent any of the main political parties<br><br>False<br>True"	"True"	"There are a few MPs who do not represent any of the main political parties. They are called ‘independents’ and usually represent an issue important to their constituency."	"Life in the UK"	
"What kind of battle was the Battle of Britain (1940)?<br><br>Air Battle<br>Border Battle<br>All of these<br>Sea Battle"	"Air Battle"	"The Germans waged an air campaign against Britain, but the British resisted with their fighter planes and eventually won the crucial aerial battle against the Germans, called ‘the Battle of Britain’, in the summer of 1940. The most important planes used by the Royal Air Force in the Battle of Britain were the Spitfire and the Hurricane – which were designed and built in Britain."	"Life in the UK"	
"Scotland, Wales and Northern Ireland each have devolved administrations which give them full control over all policies and laws<br><br>True<br>False"	"False"	"Policy and laws governing defence, foreign affairs, immigration, taxation and social security all remain under central UK government control. However, many other public services, such as education, are controlled by the devolved administrations."	"Life in the UK"	
"Which TWO of these are associated with Sir Francis Drake?<br><br>Sailing around the world<br>Building the Titanic<br>The Spanish Armada invasion<br>Invasion of Ireland"	"Sailing around the world<br>The Spanish Armada invasion"	"Sir Francis Drake, one of the commanders in the defeat of the Spanish Armada, was one of the founders of England’s naval tradition. His ship, the Golden Hind, was one of the first to sail right around (‘circumnavigate’) the world."	"Life in the UK"	
"John Constable (1776-1837) founded the modern Police force in England<br><br>False<br>True"	"False"	"John Constable (1776–1837) was a landscape painter most famous for his works of Dedham Vale on the Suffolk–Essex border in the east of England."	"Life in the UK"	
"A treaty gave independence to the south of Ireland in 1921<br><br>False<br>True"	"True"	"In 1921 a peace treaty was signed and in 1922 Ireland became two countries. The six counties in the north which were mainly Protestant remained part of the UK under the name Northern Ireland. The rest of Ireland became the Irish Free State. It had its own government and became a republic in 1949."	"Life in the UK"	
"Which event is celebrated on the 5th of November each year?<br><br>The end of the First World War<br>The defeat of the Spanish Armada<br>A plot to blow up the Houses of Parliament in 1605<br>The end of the Second World War"	"A plot to blow up the Houses of Parliament in 1605"	"Bonfire Night, 5 November, is an occasion when people in Great Britain set off fireworks at home or in special displays. The origin of this celebration was an event in 1605, when a group of Catholics led by Guy Fawkes failed in their plan to kill the Protestant king with a bomb in the Houses of Parliament."	"Life in the UK"	
"Which Battle is commemorated in the Bayeux Tapestry?<br><br>Bosworth<br>Hastings<br>Agincourt<br>Boyne"	"Hastings"	"In 1066, an invasion led by William, the Duke of Normandy (in what is now northern France), defeated Harold, the Saxon king of England, at the Battle of Hastings. Harold was killed in the battle. William became king of England and is known as William the Conqueror. The battle is commemorated in a great piece of embroidery, known as the Bayeux Tapestry, which can still be seen in France today."	"Life in the UK"	
"Which TWO major welfare changes were introduced between 1945 and 1950?<br><br>The NHS<br>A social security system for everyone<br>Employment benefits<br>State pension"	"The NHS<br>A social security system for everyone"	"In 1948, Aneurin (Nye) Bevan, the Minister for Health, led the establishment of the National Health Service (NHS). A national system of benefits was also introduced to provide ‘social security’, so that the population would be protected from the ‘cradle to the grave’."	"Life in the UK"	
"Mince pies are traditionally eaten on which day?<br><br>Halloween<br>Easter<br>Christmas<br>Diwali"	"Christmas"	"Christmas is celebrated in a traditional way. People usually spend the day at home and eat a special meal, which often includes roast turkey, Christmas pudding and mince pies."	"Life in the UK"	
"Which TWO of these were introduced before the First World War in 1914?<br><br>State retirement pension<br>Child Benefit payments<br>Free school meals<br>National Health Service"	"State retirement pension<br>Free school meals"	"Financial help for the unemployed, old-age pensions and free school meals were just a few of the important measures introduced."	"Life in the UK"	
"Which sport often refers to the phrase ‘rain stopped play’?<br><br>Cricket<br>Rugby<br>Football<br>Tennis"	"Cricket"	"You may come across expressions such as ‘rain stopped play’, ‘batting on a sticky wicket’, ‘playing a straight bat’, ‘bowled a googly’ or ‘it’s just not cricket’, which have passed into everyday usage. The most famous cricket competition is the Ashes, which is a series of Test matches played between England and Australia."	"Life in the UK"	
"Robert Browning, William Blake and Lord Byron were all famous poets<br><br>False<br>True"	"True"	"The statement is true"	"Life in the UK"	
"Who can only give ‘advice, warn and encourage’ about government matters?<br><br>Members of the police<br>The Queen<br>The Speaker<br>Prime Minister"	"The Queen"	"The monarch has regular meetings with the Prime Minister and can advise, warn and encourage, but the decisions on government policies are made by the Prime Minister and cabinet"	"Life in the UK"	
"St Augustine led missionaries from Rome. Where did he spread Christianity?<br><br>In the East<br>In the West<br>In the North<br>In the South"	"In the South"	"The Anglo-Saxons were not Christians when they first came to Britain but, during this period, missionaries came to Britain to preach about Christianity. Missionaries from Ireland spread the religion in the north. The most famous of these were St Patrick, who would become the patron saint of Ireland and St Columba, who founded a monastery on the island of Iona, off the coast of what is now Scotland. St Augustine led missionaries from Rome, who spread Christianity in the south. St Augustine became the first Archbishop of Canterbury."	"Life in the UK"	
"Who, in 1810 opened the first curry house in Britain called ‘The Hindoostane Coffee House’ in George Street, London?<br><br>Richard Arkwright<br>Alexander Burns<br>Ali Kerimov<br>Sake Dean Mahomet"	"Sake Dean Mahomet"	"In 1810 Sake Dean Mahomet opened the Hindoostane Coffee House in George Street, London. It was the first curry house to open in Britain. Mahomet and his wife also introduced ‘shampooing’, the Indian art of head massage, to Britain."	"Life in the UK"	
"EastEnders and Coronation Street are popular soap operas.<br><br>True<br>False"	"True"	"British television shows a wide variety of programmes. Popular programmes include regular soap operas such as Coronation Street and EastEnders."	"Life in the UK"	
"Which TWO developments are associated with the ‘Swinging Sixties’?<br><br>Divorce Law Reform<br>Children's Rights Law Reform<br>Establishment of the NHS<br>Abortion Law Reform"	"Divorce Law Reform<br>Abortion Law Reform"	"The Swinging Sixties was also a time when social laws were liberalised, for example in relation to divorce and to abortion in England, Wales and Scotland. The position of women in the workplace also improved. It was quite common at the time for employers to ask women to leave their jobs when they got married, but Parliament passed new laws giving women the right to equal pay and made it illegal for employers to discriminate against women because of their gender."	"Life in the UK"	
"Robert Stephenson and George were famous pioneers of which industry?<br><br>Canal building<br>Railway engines<br>Automobile<br>Agricultural"	"Railway engines"	"Just before Victoria came to the throne, the father and son George and Robert Stephenson pioneered the railway engine and a major expansion of the railways took place in the Victorian period. Railways were built throughout the Empire."	"Life in the UK"	
"Which TWO are associated with the ‘Dunkirk Spirit’?<br><br>The rescue of 300,000 men<br>Invasion of Berlin on May 9<br>Small boats coming to the rescue<br>Landings on D-Day"	"The rescue of 300,000 men<br>Small boats coming to the rescue"	"Many civilian volunteers in small pleasure and fishing boats from Britain helped the Navy to rescue more than 300,000 men from the beaches around Dunkirk. Although many lives and a lot of equipment were lost, the evacuation was a success and meant that Britain was better able to continue the fight against the Germans. The evacuation gave rise to the phrase ‘the Dunkirk spirit’."	"Life in the UK"	
"The National Citizen Service provides military training to young people<br><br>True<br>False"	"False"	"The National Citizen Service programme, which gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project."	"Life in the UK"	
"There is no upper age limit for doing jury service<br><br>False<br>True"	"False"	"As well as getting the right to vote, people on the electoral register are randomly selected to serve on a jury. Anyone who is on the electoral register and is aged 18 to 70 can be asked to do this."	"Life in the UK"	
"Which of the following statements does NOT apply to the United Nations?<br><br>The UN has five members in total<br>The UK is one of five permanent members of the UN Security Council<br>It was set up after the Second World War<br>It aims to prevent war"	"The UN has five members in total"	"The UK is part of the United Nations (UN), an international organisation with more than 190 countries as members. The UN was set up after the Second World War and aims to prevent war and promote international peace and security. There are 15 members on the UN Security Council, which recommends action when there are international crises and threats to peace. The UK is one of five permanent members of the Security Council."	"Life in the UK"	
"Which architectural style are the famous London buildings of the 19th century, such as the House of Parliament and St Pancras Station, associated with?<br><br>Roman<br>Gothic<br>Catholic<br>Indian"	"Gothic"	"In the 19th century, the medieval ‘gothic’ style became popular again. As cities expanded, many great public buildings were built in this style. The Houses of Parliament and St Pancras Station were built at this time, as were the town halls in cities such as Manchester and Sheffield."	"Life in the UK"	
"Which prehistoric monument still stands in the English county of Wiltshire?<br><br>Offa's Dyke<br>Fountains Abbey<br>Hadrian's Wall<br>Stonehenge"	"Stonehenge"	"Stonehenge, still stands in what is now the English county of Wiltshire. Stonehenge was probably a special gathering place for seasonal ceremonies."	"Life in the UK"	
"Where is the Royal Crescent is located?<br><br>Portsmouth<br>London<br>Edinburgh<br>Bath"	"Bath"	"In the 18th century, simpler designs became popular. The Scottish architect Robert Adam influenced the development of architecture in the UK, Europe and America. He designed the inside decoration as well as the building itself in great houses such as Dumfries House in Scotland. His ideas influenced architects in cities such as Bath, where the Royal Crescent was built."	"Life in the UK"	
"What name is given to the official flag that represents the union between England, Scotland, Wales and Northern Ireland?<br><br>Union Ace<br>Union Queen<br>Union King<br>Union Jack"	"Union Jack"	"One symbol of the union between England, Scotland, Wales and Northern Ireland was a new version of the official flag, the Union Flag. This is often called the Union Jack."	"Life in the UK"	
"Pressure groups and lobby groups are organisations which try to influence government policy<br><br>False<br>True"	"True"	"Pressure and lobby groups are organisations which try to influence government policy. They play an important role in politics."	"Life in the UK"	
"Who governs the Church of Scotland?<br><br>Local Authorities<br>The Archbishop of Canterbury<br>The Pope<br>Ministers and elders"	"Ministers and elders"	"In Scotland, the national Church is the Church of Scotland, which is a Presbyterian Church. It is governed by ministers and elders. The chairperson of the General Assembly of the Church of Scotland is the Moderator, who is appointed for one year only and often speaks on behalf of that Church."	"Life in the UK"	
"What is the currency used in the UK?<br><br>Euro<br>Gold<br>Pound sterling<br>Dollars"	"Pound sterling"	"The currency in the UK is the pound sterling (symbol £). There are 100 pence in a pound."	"Life in the UK"	
"Which religion did the Huguenots follow?<br><br>Catholicism<br>Protestantism<br>Buddhism<br>Russian Orthodox"	"Protestantism"	"Between 1680 and 1720 many refugees called Huguenots came from France. They were Protestants and had been persecuted for their religion. Many were educated and skilled and worked as scientists, in banking, or in weaving or other crafts."	"Life in the UK"	
"Which political party is still known as the Tories?<br><br>Conservative<br>British National Party<br>Labour<br>Liberal Democrats"	"Conservative"	"The modern Conservative Party is still sometimes referred to as the Tories"	"Life in the UK"	
"What were the Irish people who favoured complete independence from the UK known as?<br><br>People of Ireland<br>Roundheads<br>Cavaliers<br>Fenians"	"Fenians"	"The Irish Nationalist movement had grown strongly through the 19th century. Some, such as the Fenians, favoured complete independence."	"Life in the UK"	
